"Term [en]","Description [en]","Part of Speech [en]","Status [en]","Type [en]","Gender [en]","Note [en]","Term [de]","Description [de]","Part of Speech [de]","Status [de]","Type [de]","Gender [de]","Note [de]","Concept Definition","Concept Subject","Concept Note","Translatable"
"Medication","A pharmaceutical drug used to treat, cure, or prevent disease","noun","preferred","","","Singular form","Medikament","Ein pharmazeutisches Arzneimittel zur Behandlung, Heilung oder Vorbeugung von Krankheiten","noun","preferred","","neuter","Singular","Individual pharmaceutical product with specific dosage and form","Healthcare","Core concept in medication management","yes"
"Medications","Multiple pharmaceutical drugs","noun","preferred","","","Plural form","Medikamente","Mehrere pharmazeutische Arzneimittel","noun","preferred","","","Plural","Collection of pharmaceutical products","Healthcare","Plural of Medication","yes"
"Inventory","Current stock level of medication units available","noun","preferred","","","Stock tracking","Lagerbestand","Aktueller Bestand an verfügbaren Medikamenteneinheiten","noun","preferred","","masculine","Auch: Bestand","Current stock quantity tracking system","Inventory Management","Key metric for availability","yes"
"Stock","Current quantity on hand","noun","preferred","","","Alternative to inventory","Bestand","Aktuelle verfügbare Menge","noun","preferred","","masculine","Alternative zu Lagerbestand","Current quantity available","Inventory Management","Synonym for inventory","yes"
"Package","Container with specific number of medication units","noun","preferred","","","Physical packaging","Packung","Behälter mit bestimmter Anzahl von Medikamenteneinheiten","noun","preferred","","feminine","Packungsgröße","Physical container of medication units","Pharmacy","Standard packaging unit","yes"
"Package Size","Standardized medication package sizes","noun","preferred","","","N1/N2/N3 system","Packungsgröße","Standardisierte Medikamentenpackungsgrößen","noun","preferred","","feminine","N1/N2/N3 System","Standardized packaging quantities","Pharmacy","German pharmacy system","yes"
"Units","Individual pills, tablets, or doses","noun","preferred","","","Plural, countable","Einheiten","Einzelne Pillen, Tabletten oder Dosen","noun","preferred","","","Plural, zählbar","Individual countable medication doses","Pharmacy","Base unit for counting","yes"
"Unit","Single pill, tablet, or dose","noun","preferred","","","Singular","Einheit","Einzelne Pille, Tablette oder Dosis","noun","preferred","","feminine","Singular","Single countable medication dose","Pharmacy","Singular of Units","yes"
"Pills","Solid dosage forms of medication","noun","preferred","","","Common term","Pillen","Feste Darreichungsformen von Medikamenten","noun","preferred","","","Auch: Tabletten","Solid medication forms","Pharmacy","Common dosage form","yes"
"Tablets","Compressed solid dosage forms","noun","preferred","","","Medical term","Tabletten","Gepresste feste Darreichungsformen","noun","preferred","","","Medizinischer Begriff","Compressed medication forms","Pharmacy","Specific dosage form","yes"
"Physician","Medical doctor who prescribes medications","noun","preferred","","","Healthcare provider","Arzt","Mediziner, der Medikamente verschreibt","noun","preferred","","masculine","Auch: Ärztin (fem.)","Medical professional who prescribes treatment","Healthcare","Primary care provider","yes"
"Doctor","Medical practitioner","noun","preferred","","","Common term","Doktor","Medizinischer Praktiker","noun","preferred","","masculine","Umgangssprachlich für Arzt","Medical professional","Healthcare","Informal term for physician","yes"
